tag;artist;song;popularity;id;danceability;energy;key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;valence;tempo;duration_ms
happy;Ingrid Haebler;Mozart - Concerto for piano & Orchestra No 27 in B Flat - Allegro;26;5LdSRqakj0ptHswNHtu5xh;0.261;0.166;10;-18.673;1;0.0489;0.985;0.897;0.138;0.26;68.609;535464
happy;Arthur Grumiaux;Violin Concerto No.1 in B Flat Major, K. 207: III. Presto;31;2rocVCjh8VOk0pZIKTtWOT;0.521;0.299;10;-14.038;1;0.0446;0.949;0.785;0.169;0.669;82.246;294187
happy;TERZ Classical guitar trio;29th Of May / Here's A Health;12;657jKwPPO94fMcNEJJQK9R;0.725;0.138;2;-21.21;1;0.178;0.979;0.894;0.097;0.612;73.418;103707
happy;Claude Debussy;Arabesque No.1;45;5Ebm8OIFGeyoK25ZzXuju5;0.329;0.0102;6;-29.214;0;0.0385;0.994;0.918;0.103;0.0659;132.244;271213
happy;The Newman & Oltman Guitar Duo;Andante;10;5B0nTmfMgHK7BORQDvmD3b;0.565;0.0522;9;-24.47;1;0.0945;0.99;0.863;0.122;0.285;90.975;121973
happy;William Wilson;Sechs Kanonische Sonaten, Sonata I: Vivace, Adagio, Allegro;25;0shSXdv8GKozyQD9xps6he;0.582;0.13;7;-17.951;1;0.102;0.993;0.926;0.144;0.344;108.016;300035
happy;Paul Berget;Partita in G (gigue);9;5OSMBt53ACSabFpppBwgbx;0.554;0.0984;7;-21.674;1;0.0383;0.932;0.842;0.118;0.614;79.229;99867
happy;TERZ Classical guitar trio;Prince Ruperts March/ The Clear Cavalier;12;0hLHr43WtHuVqeDKEFOJci;0.651;0.0942;7;-21.641;1;0.142;0.971;0.904;0.0948;0.448;139.86;214520
happy;Michael Bautista;Dances from Terpsichore in D Major: III. Ballet;8;0HqEyjsfn8Z0od5VD6UVAt;0.433;0.0806;2;-25.847;1;0.0775;0.995;0.958;0.1;0.449;94.06;142320
happy;Johann Sebastian Bach;Sonata in E Major, BWV 1035: IV. Allegro assai;12;3q6o6NDWeT0LkpxgU78r6o;0.606;0.321;4;-14.759;1;0.0482;0.754;0.00273;0.307;0.97;111.145;143213
happy;Franz Krommer;Concerto For Oboe In F Major, Op. 52: Allegro;25;5sIlgR0qqEoM74k2gCKsPf;0.363;0.251;5;-13.639;1;0.0345;0.857;0.903;0.123;0.34;135.891;553093
happy;Tomaso Albinoni;Oboe Concerto in B Flat Major, Op. 7 No. 3: Allegro;13;0Epy3KrHLhok6jvZbld3YP;0.736;0.244;10;-18.256;1;0.0448;0.848;0.393;0.0883;0.848;103.306;141933
happy;Maurice André;Trumpet Concerto in D Major: II. Allegro;11;5VVHDRExbhamQkAP9jqSrT;0.562;0.344;2;-10.076;1;0.0358;0.925;0.108;0.0784;0.698;122.774;186840
happy;Maurice André;Trumpet Concerto in D Major: III. Larghetto;11;3H6jPPR7FiALt7NhC5Zskq;0.139;0.247;2;-11.933;1;0.0394;0.838;0.268;0.127;0.251;75.43;241347
happy;Maurice André;Suite in D Major: I. Prelude, Duke of Gloster's March;11;0JvoEzXOTBII53gXknVjAg;0.573;0.265;9;-9.279;1;0.0516;0.952;0.638;0.14;0.457;135.727;112293
happy;Maurice André;Suite in D Major: II. Minuet;10;3K5V90kXrIu9UvLSUAwmOf;0.194;0.255;2;-10.939;1;0.0408;0.868;0.288;0.128;0.219;138.938;79627
