sep=,
happy,Then_He_Kissed_Me_The_Crystals,0.122
happy,Tom_Jones_It_s_Not_Unusual_With_Lyrics_,0.135
happy,Van_Morrison_Brown_Eyed_Girl,0.126
melancholia,_13_Ryan_Adams_Harder_Now_That_It_s_Over,0.066
melancholia,Agnes_Obel_Riverside_Official_,0.062
melancholia,Alice_in_Chains_Nutshell,0.053
melancholia,Bat_For_Lashes_Siren_Song,0.069
melancholia,Bear_s_Den_When_You_Break_Lyrics,0.052
melancholia,Beck_Guess_I_m_Doing_Fine,0.08
melancholia,Ben_Folds_Five_Brick,0.061
melancholia,Blue_October_Hate_Me_10th_Anniversary_Live_,0.065
melancholia,Bright_Eyes_Something_vague,0.094
melancholia,Cat_Power_Good_Woman,0.07
melancholia,Christina_Perri_A_Thousand_Years_Official_Music_Video_,0.083
melancholia,Ciaran_Lavery_Lovers_who_make_Love,0.043
melancholia,Counting_Crows_Speedway,0.049
melancholia,Damien_Rice_9_Crimes_Official_Video,0.035
melancholia,Daniel_Gidlund_Wasteland,0.085
melancholia,Ed_Sheeran_I_See_Fire_Music_Video_,0.046
melancholia,Elton_John_Sorry_Seems_To_Be_The_Hardest_Word,0.073
melancholia,Flightless_Bird_American_Mouth_Iron_and_Wine,0.072
melancholia,Fractures_Wake_Up_acoustic_,0.071
melancholia,Frightened_Rabbit_Keep_Yourself_Warm,0.071
melancholia,Girl_With_The_Red_Balloon_The_Civil_Wars_With_Lyrics_,0.043
melancholia,Goo_Goo_Dolls_Name_Official_Video_,0.084
melancholia,Goo_Goo_Dolls_Black_Balloon_Official_Music_Video_,0.105
melancholia,Hurray_for_the_Riff_Raff_I_m_So_Lonesome_I_Could_Cry_Hank_Williams_,0.167
melancholia,James_Blunt_Goodbye_My_Lover_OFFICIAL_VIDEO_,0.066
melancholia,James_TW_When_You_Love_Someone_Official_Video_,0.108
melancholia,Jason_Mraz_ft_James_Morrison_Details_in_The_Fabric,0.086
melancholia,Jeff_Buckley_Hallelujah_Official_Video_,0.028
melancholia,John_Mayer_Split_Screen_Sadness,0.079
